"","st_louis_fed","censusyear","county","industrycode","total_output_value"
"224",1,1931,"Noxubee","622",302142
"225",1,1929,"Sunflower","119",20090
"226",1,1931,"Sunflower","119",12535
"227",1,1931,"Alcorn","614",41847
"228",1,1931,"Lee","614",157814
"229",1,1929,"Washington","622",886033
"230",1,1931,"Washington","622",337418
"231",0,1931,"Lauderdale","520",32326
"232",0,1931,"Perry","317",80157
"233",1,1929,"Oktibbeha","216",166869
"234",0,1929,"Hinds","119",200779
"235",0,1931,"Hinds","119",157444
"236",0,1929,"Hinds","101",83000
"237",0,1931,"Hinds","101",30616
"238",0,1929,"Hinds","101",453052
"239",0,1931,"Hinds","101",374405
"240",0,1929,"Hinds","119",19000
"241",0,1931,"Hinds","119",12000
"242",0,1929,"Hinds","1014",46123
"243",0,1931,"Hinds","1014",28328
"244",0,1929,"Hinds","520",27723
"245",0,1931,"Hinds","520",42930
"246",0,1931,"Hinds","1676",136739
"247",0,1929,"Harrison","104",95800
"248",0,1931,"Harrison","104",74700
"249",0,1931,"Hinds","1677",7250
"250",1,1931,"Lee","1677",8897
"251",1,1931,"Bolivar","1677",16800
"252",1,1931,"Monroe","103",166080
"253",0,1929,"Warren","136",158366
"254",0,1931,"Warren","136",97248
"255",0,1931,"Hinds","1677",19872
"256",1,1929,"Attala","103",122737
"257",1,1931,"Attala","103",56250
"258",1,1929,"Attala","119",30000
"259",1,1931,"Attala","119",8000
"260",0,1929,"Harrison","136",139676
"261",0,1931,"Harrison","136",90078
"262",0,1931,"Yazoo","1677",6783
"263",0,1929,"Jones","101",126987
"264",0,1931,"Jones","101",91388
"265",0,1929,"Jones","651",264879
"266",0,1931,"Jones","633",169266.27
"267",0,1929,"Jones","622",1108555
"268",0,1931,"Jones","622",695457
"269",1,1929,"Leflore","520",50294
"270",1,1931,"Leflore","520",28857
"271",1,1929,"Leflore","622",539219
"272",1,1931,"Leflore","622",309650
"273",1,1931,"Washington","119",16337
"274",1,1929,"Washington","622",1703022
"275",1,1931,"Washington","622",870304
"276",1,1929,"Holmes","101",59950
"277",1,1931,"Holmes","101",30848
"278",1,1929,"Holmes","103",64914
"279",1,1931,"Holmes","103",26912
"280",1,1929,"Winston","101",27890
"281",1,1931,"Winston","101",33954
"282",0,1931,"Greene","317",23240
"283",0,1929,"George","105",265785
"284",0,1931,"George","105",96834
"285",1,1929,"Monroe","136",19655
"286",1,1931,"Monroe","136",12493
"287",1,1929,"Noxubee","103",64907
"288",1,1931,"Noxubee","103",40059
"289",0,1931,"Hinds","1677",48782
"290",0,1929,"Pike","622",276616
"291",0,1931,"Pike","622",309448
"292",1,1929,"Quitman","119",13670
"293",1,1931,"Quitman","119",6275
"294",0,1929,"Forrest","136",306514
"295",0,1931,"Forrest","136",105199
"296",0,1929,"Harrison","104",96498
"297",0,1931,"Harrison","104",62250
"298",0,1929,"Jones","105",158810
"299",0,1931,"Jones","105",103494
"300",0,1929,"Pike","119",243061
"301",0,1931,"Pike","119",300151
"302",0,1929,"Pike","101",81711
"303",0,1931,"Pike","101",67510
"304",0,1929,"Pike","118",51808
"305",0,1931,"Pike","118",36840
"306",0,1931,"Pike","101",18161
"307",1,1929,"Coahoma","101",35000
"308",0,1931,"Pike","116",52237
"309",0,1931,"Hancock","317",16000
"310",0,1929,"Jones","136",90000
"311",0,1931,"Jones","136",59100
"312",0,1929,"Warren","136",5160
"313",0,1931,"Warren","136",33593
"314",0,1929,"Lauderdale","101",98000
"315",0,1931,"Lauderdale","101",42195
"316",0,1929,"Lauderdale","119",141464
"317",0,1931,"Lauderdale","119",120895
"318",0,1929,"Lauderdale","101",311173
"319",0,1931,"Lauderdale","101",224044
"320",0,1931,"Forrest","614",223921
"321",0,1931,"Lauderdale","614",256929
"322",0,1929,"Lauderdale","114",1601726
"323",0,1931,"Lauderdale","114",786839
"324",1,1931,"Leflore","622",670571
"325",0,1931,"Harrison","104",88000
"326",0,1929,"Hinds","622",118968
"327",0,1931,"Hinds","622",638170
"328",0,1929,"Harrison","119",73126
"329",0,1931,"Harrison","119",77872
"330",0,1929,"Harrison","119",80536
"331",0,1931,"Harrison","119",59097
"332",1,1929,"Bolivar","119",21896
"333",1,1931,"Bolivar","119",18197
"334",1,1931,"Leflore","119",53842
"335",0,1931,"Walthall","119",10081
"336",0,1929,"Warren","520",100529
"337",0,1931,"Warren","520",72316
"338",1,1929,"Winston","119",25891
"339",1,1931,"Winston","119",18345
"340",0,1931,"Warren","1677",17316
"341",0,1929,"Hinds","119",130000
"342",0,1931,"Hinds","119",60000
